name,window,hidden,lstm_layers,dropout,batch_size,learning_rate,weight_decay,lambda_voltage,loss_function,huber_delta,current_focus_weight,voltage_pca_components,current_pca_components,parameters,best_epoch,epochs_run,initial_val_current_r2_h5,best_val_current_r2_h5,best_val_current_mse_h5,best_val_voltage_r2_h5,best_val_voltage_mse_h5,best_val_total_loss
w78_weight_decay_1e3,78,128,1,0.2,32,0.0001,0.001,0.3,huber,1.0,1.0,16,64,216912,1,9,0.9328739178872278,0.9328770266874387,14.650696372040507,0.6129384495905672,1.056353092249215e-05,0.3407629191285313
w78_batch_64,78,128,1,0.2,64,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,1,9,0.9328739178872278,0.9328762518482376,14.650865493480033,0.6129738015659745,1.0562566110283822e-05,0.34075469958900223
w78_learning_rate_5e5,78,128,1,0.2,32,5e-05,0.0001,0.3,huber,1.0,1.0,16,64,216912,1,9,0.9328739178872278,0.9328757552946196,14.650973874499696,0.6129923377695657,1.056206022759981e-05,0.3407543720585285
w78_vweight_010,78,128,1,0.2,32,0.0001,0.0001,0.1,huber,1.0,1.0,16,64,216912,1,9,0.9328739178872278,0.9328751928154139,14.651096644866572,0.6129379470350693,1.0563544638038259e-05,0.3102470589156198
w78_current_only,78,128,1,0.2,32,0.0001,0.0001,0.0,huber,1.0,1.0,16,64,216912,1,9,0.9328739178872278,0.932874122953699,14.651330159837247,0.6130332775353138,1.0560942915686547e-05,0.2949889024885574
w78_learning_rate_2e4,78,128,1,0.2,32,0.0002,0.0001,0.3,huber,1.0,1.0,16,64,216912,0,8,0.9328739178872278,0.9328739178872278,14.651374918977906,0.6130332775353138,1.0560942915686547e-05,0.34074822717373915
w78_mse,78,128,1,0.2,32,0.0001,0.0001,0.3,mse,1.0,1.0,16,64,216912,0,8,0.9328739178872278,0.9328739178872278,14.651374918977906,0.6130332775353138,1.0560942915686547e-05,2.8684975239309933
refine_window_105,105,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,6,14,0.929828782218783,0.9327410186877917,14.68038236192833,0.6097965458631882,1.0649278517789468e-05,0.33339740675274687
refine_window_79,79,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,1,9,0.932628489147728,0.9326417161913259,14.702056770151158,0.6128464074221966,1.0566042900989436e-05,0.34123077487001324
refine_window_76,76,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,1,9,0.9324367616596732,0.9324469024761396,14.744578077677458,0.5967304902251485,1.100587214642924e-05,0.3416051717087774
